datetime,us_aqi,pm2_5,pm10,carbon_monoxide,nitrogen_dioxide,sulphur_dioxide,ozone,uv_index,temperature_2m,relative_humidity_2m,wind_speed_10m,hour_sin,wind_u,wind_v,pm2_5_rolling_mean_36h,carbon_monoxide_rolling_mean_36h,pm10_rolling_mean_36h,pm2_5_rolling_std_72h,pm10_rolling_std_72h,aqi_change_rate,pm_ratio,is_rush_hour,precip_likelihood
2025-11-11 07:00:00,108,56.599999999999994,74.5,1301.0,57.0,20.3,0.0,0.05,19.3,85,4.0,0.9659258262890683,-3.1085838458278836,-2.51728156419935,38.830555555555556,1022.5555555555555,51.65833333333333,10.28235789120471,16.339272657799906,3.0,0.759731543624161,1,3145
2025-11-11 08:00:00,110,56.599999999999994,86.6,1301.0,49.9,22.7,7.0,0.6,20.1,81,3.3,0.8660254037844387,-3.0597067200703982,-1.2362017582725093,39.45,1022.5555555555555,52.34444444444445,10.388206472946736,16.432728850218417,2.0,0.6535796766743649,1,4617
2025-11-11 09:00:00,113,48.9,57.9,1301.0,39.5,32.0,37.0,2.0,22.6,69,2.5,0.7071067811865476,-2.5,-1.5308084989341916e-16,40.03055555555556,1022.5555555555555,53.349999999999994,10.394481727880384,16.719291039978668,3.0,0.844559585492228,1,138
2025-11-11 10:00:00,114,29.3,41.8,1301.0,27.1,32.0,78.0,3.8,24.4,64,2.4,0.49999999999999994,-1.4106846055019358,1.9416407864998735,40.349999999999994,1022.5555555555555,53.525000000000006,10.356194611109046,16.715815735297287,1.0,0.7009569377990431,0,64
2025-11-11 11:00:00,114,25.6,34.0,829.0,17.4,32.0,112.0,5.35,26.0,55,4.3,0.258819045102521,-0.15006783582075492,4.2973805561821115,40.01944444444444,1022.5555555555555,53.10277777777778,10.436412927281825,16.845874041504477,0.0,0.7529411764705882,0,0
2025-11-11 12:00:00,114,26.4,33.4,638.0,12.0,32.0,134.0,6.05,26.9,53,5.7,1.2246467991473532e-16,0.8916764507293152,5.629823541392286,39.44722222222222,1009.4444444444445,52.269444444444446,10.587076802730763,17.085885415693184,0.0,0.7904191616766467,0,0
2025-11-11 13:00:00,114,27.1,33.4,596.0,9.1,32.0,150.0,5.55,27.3,54,7.8,-0.2588190451025208,1.7546182238821468,7.6000865053248345,38.827777777777776,991.0277777777778,51.3138888888889,10.698768357441894,17.28904757018751,0.0,0.8113772455089822,0,54
2025-11-11 14:00:00,115,27.5,33.4,571.0,8.0,32.0,157.0,4.05,27.4,55,9.7,-0.4999999999999997,3.6336839561343464,8.993683389297837,38.24444444444444,971.4444444444445,50.34722222222222,10.788750353681188,17.477642100579352,1.0,0.8233532934131736,0,0
2025-11-11 15:00:00,115,27.3,33.1,496.0,7.4,32.0,156.0,2.3,26.9,57,10.9,-0.7071067811865471,5.613915016519591,9.343123577653024,37.769444444444446,951.1666666666666,49.488888888888894,10.866231737602352,17.66157596732141,0.0,0.824773413897281,0,171
2025-11-11 16:00:00,115,26.5,32.0,438.0,8.6,32.0,146.0,0.85,26.4,58,10.2,-0.8660254037844385,6.825132184860354,7.580077219869421,37.44722222222222,937.0555555555555,48.84722222222222,10.937633343698813,17.850060110015193,0.0,0.828125,0,116
2025-11-11 17:00:00,116,22.8,27.8,458.0,13.5,28.9,128.0,0.15,25.6,59,9.3,-0.9659258262890683,6.689860143149456,6.460322845268675,37.27222222222222,928.4166666666666,48.422222222222224,11.01357961051939,18.068229234439244,1.0,0.8201438848920863,1,59
2025-11-11 18:00:00,116,26.8,31.0,609.0,30.6,26.5,97.0,0.0,24.9,64,9.0,-1.0,7.187719590425635,5.416335208368435,37.06111111111111,918.0555555555555,47.90833333333333,11.194335072490134,18.407888896630343,0.0,0.864516129032258,1,128
2025-11-11 19:00:00,116,31.1,34.8,839.0,54.2,23.2,54.0,0.0,24.5,66,7.3,-0.9659258262890684,6.719685430202814,2.8523372379716987,36.86388888888889,898.8333333333334,47.349999999999994,11.298644440692245,18.67464932432616,0.0,0.8936781609195403,1,66
2025-11-11 20:00:00,116,32.8,36.6,1054.0,60.1,21.3,21.0,0.0,24.1,69,5.9,-0.8660254037844386,5.430978635369398,2.3053136580867157,36.486111111111114,886.0,46.583333333333336,11.322403940238052,18.863360862273687,0.0,0.896174863387978,0,0
2025-11-11 21:00:00,116,36.1,40.7,1269.0,60.1,22.2,10.0,0.0,23.8,71,6.1,-0.7071067811865477,5.767663311155832,1.9859657421886554,35.825,879.1388888888889,45.63333333333333,11.309100629239099,19.003830229201075,0.0,0.8869778869778869,0,0
